system:index,Aspect,Eastness,Elevation,GaussianCurvature,HAND,Hillshade,HorizontalCurvature,MaximalCurvature,MeanCurvature,MinimalCurvature,Northness,PRCPTOT,ShapeIndex,Slope,TPI,VerticalCurvature,lineament,presence,.geo
00000000000000000580_0,245.1125990621544,-0.9071365760807281,1635.5274933447413,-3.6310777634028686E-7,548.4086,0.8773855655784739,-6.71617229088574E-4,5.45838881522109E-4,-5.969498872749352E-5,-6.652288589770961E-4,-0.4208363486398643,1258.3375,-0.06275951189900794,28.49080607700746,36,5.52227251633587E-4,0.5869891,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000585_0,279.8697642182069,-0.9851999183665869,1621.5572249496486,-4.836685379172763E-7,596.91003,0.8164081332617233,5.120861368951659E-4,0.001479096888958978,5.760471412424533E-4,-3.2700260647407166E-4,0.1714092204359804,1258.3375,0.4060939066292549,35.13688387724047,175,6.400081455897405E-4,0.7919582,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000032c_0,55.534760733352336,0.8244696695057235,1082.4420528150138,-8.662005607776252E-7,148.37581,0.8523572123695414,-0.002738908356862107,3.2319511242202923E-4,-0.0011784607050143866,-0.0026801165224508024,0.5659061442192715,1258.3375,-0.4996027565432218,31.712690362293557,-82,3.8198694683333375E-4,0.34435657,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004a5_0,19.48788032476363,0.33360745647442586,2027.4202208643042,-1.4175415059383188E-6,67.26531,0.8175017215628126,9.620011722886152E-4,0.0017205421924132958,4.4832493406399715E-4,-8.238923242853016E-4,0.9427120795792658,1251.1565,0.2243425921142238,35.30606650595164,-126,-6.535130416062086E-5,0.61556864,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e3_0,349.01850533539096,-0.19049194043263643,2467.3795283214085,-1.191266774601591E-6,417.83676,0.7989636873177011,-3.1062348762465506E-4,0.0010556546076453373,-3.640401102885261E-5,-0.0011284626297030425,0.9816887595517272,1251.1565,-0.021221858257564254,37.03272798661302,22,2.3781546556694993E-4,2.3805163,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e7_0,259.9285361123991,-0.9845903991094784,2307.838880829695,7.034330011058335E-7,32.352318,0.8810713014675997,-0.003125493107539236,-2.147659140145186E-4,-0.0017450567106232079,-0.003275347507231897,-0.1748763734225924,1251.1565,-0.7259650311871704,28.058965643324434,-32,-3.646203137071813E-4,2.0603325,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000053b_0,301.55621121443244,-0.8521271460349708,2201.8616175225247,-2.011872931326858E-7,75.445335,0.8753453815434827,-0.0011609726995689398,1.543128195635458E-4,-5.747249235439955E-4,-0.001303762666651537,0.5233348134705885,1258.3375,-0.5018687351370537,28.831825486913566,-29,1.1522852480948589E-5,0.995263,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,174.56983201466895,0.09463249416021355,1467.0780613896045,2.538427812244024E-7,102.17085,0.9042778632988121,-0.0017654191970196736,-1.3779385655134503E-4,-9.899930771805946E-4,-0.0018421922978098442,-0.9955122756897662,1353.412,-0.7395561415496557,25.19283365396717,24,-2.1456695734151535E-4,0.57108337,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f_0,322.42271782408653,-0.6098309724475961,994.0451009615745,-1.5783369851476866E-6,147.49979,0.9690196396722386,-9.562791949589566E-4,5.715658380701233E-4,-0.0010949302727093042,-0.0027614263834887316,0.7925315041331917,1612.1025,-0.4182753601774418,14.279315344002997,21,-0.0012335813504596516,1.4959053,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d5_0,48.45899527482904,0.7484813134205397,1129.5243748954267,-3.51386360831704E-7,94.5965,0.9338620220526116,1.2135711314596727E-4,8.787127313972455E-4,2.3941254545092777E-4,-3.9988764049539004E-4,0.6631558817203266,1353.412,0.238408753098206,21.134119253940614,-57,3.574679777558883E-4,1.1751096,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc_0,302.44844825085295,-0.8438745384834493,1555.7045250662227,2.1214376068167033E-7,298.56317,0.9138808443821629,-5.296739891564086E-4,-2.7238748155703683E-4,-5.256091417158193E-4,-7.788308018746018E-4,0.5365405514025434,1523.264,-1.3214239727502999,23.87284414766833,158,-5.215442942752299E-4,0.4479201,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000020c_0,218.62498073054755,-0.6242202771991959,462.10753423508476,-2.294978834600727E-7,33.19912,0.9507342878724564,0.0014875379683373126,0.00204040299992346,9.639631285545419E-4,-1.1247674281437633E-4,-0.7812483891396891,1588.332,0.5700996440151499,17.8882885365763,-55,4.40388288771771E-4,0.5735595,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b7_0,145.27502091800167,0.569637897174861,1160.6184836503426,2.0143975813929553E-6,40.245087,0.9053503122016331,-0.0014368619197549762,-6.757924101363792E-4,-0.0018282929239263053,-0.002980793437716231,-0.8218957756931242,1573.9415,-1.0099148860452316,25.138511175896976,-41,-0.002219723928097635,0.14839514,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c9_0,226.1555712187387,-0.7212233036048408,1454.1119518531425,-5.86721617587281E-7,52.807617,0.8176678762166699,0.0010608445298970878,0.0013319941918447282,4.4575528812036897E-4,-4.404836156039903E-4,-0.6927026391874941,1490.9155,0.3202033095842247,34.970152383614774,-86,-1.693339536563498E-4,0.0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ed_0,266.0438584414795,-0.9976171547744498,969.326587302182,-1.799531722744984E-6,106.20429,0.9877939544643547,-0.002538525077982976,6.882197433223091E-4,-9.632717751206806E-4,-0.0026147632935636703,-0.06899284382985992,1353.412,-0.37132364977786775,8.79984333736001,19,6.119815277416153E-4,0.95347685,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
